idx,n,w,sw,ln
9201,64,141282146.734375,6069.528324198842,15.877489464715339
2171,64,156595347.921875,6861.895341344418,16.03791648961806
7463,64,718609779.375,12842.133029846787,16.740106056695126
4182,64,39625609.078125,3759.882653125063,15.353349671339629
8030,64,247037616.71875,7855.458553666475,16.335160235802874
1919,64,742180110.34375,12135.096277628469,16.33350031838529
9079,64,117247195.203125,5188.185342815927,15.545773732105733
6997,64,401734898.53125,9168.005714554281,15.930882292162774
6999,64,157208253.03125,5403.946285059991,15.282249950443632
6978,64,423873777.09375,8942.502599866024,15.978997680199504
980,64,47514901.078125,4801.748053117731,15.937803146647981
862,64,91444330.515625,5709.410439133255,16.17614943876225
7010,64,407465159.796875,8830.084202960592,16.04130237635315
565,64,101388682.40625,5980.9505259671905,16.111216844002364
1454,64,228362466.390625,7101.958433568544,16.10026012176005
9893,64,87144433.3125,5384.313980541893,15.93482047832166
9794,64,153504727.484375,5528.105873304152,15.31326227051165
9771,64,285955805.4375,8310.254882943345,16.25910731472181
356,64,44881521.796875,4187.732425867722,15.521094304705677
4194,64,251389890.921875,9061.091421590285,16.76626380115925
1627,64,177877757.953125,6988.573936687432,15.803786407785548
394,64,219395629.140625,7927.14756639034,16.240635531995395
1881,64,217978360.21875,9426.12297790798,17.079568547921625
7701,64,380427605.09375,10258.205695382796,16.770039054135037
5635,64,148361339.0,6926.743649144963,16.21924231428598
2830,64,127704640.75,6324.008370011696,16.063441484422647
3267,64,183171079.0625,7876.075434275872,16.485000171206778
6988,64,138239880.578125,5225.936141281325,15.25560987437392
637,64,807044126.65625,11805.014800235762,16.346010247706033
2964,64,552869489.703125,9512.916218351349,16.381451753734588
2871,64,101265077.03125,5791.291784021961,16.011857510255226
8507,64,217601280.109375,6340.8427743027705,15.826972924651523
5590,64,285377055.09375,8551.321486759502,16.002113456675975
3532,64,446317226.453125,10656.739468735603,16.630699501116368
8735,64,99466409.375,5388.786097597524,15.72871427359024
4030,64,113344624.9375,5549.918169331031,15.778341590186844
5013,64,263916851.484375,7874.790572502528,16.034852269722116
3556,64,168635911.28125,6340.9603861329,15.841400877814639
718,64,116622572.59375,5724.473455028863,15.594710133595406
2797,64,85205093.6875,5473.981905173718,15.639167967324525
5042,64,51981478.234375,4785.624483501427,15.776189655831867
7648,64,98185432.8125,5016.042336108871,15.412142858094334
7685,64,140549225.828125,6441.618168582849,16.058020584677323
4931,62,302676134.0322581,6870.950500452749,15.813417606724329
490,62,368236267.2096774,9308.532472647203,16.243703320308548
3805,62,510632300.83870965,10376.486896170285,16.159415061839322
3997,62,289362994.8548387,7744.510136905707,15.953523626656983
1442,62,115526745.93548387,6572.818176856859,16.125258129583536
1465,62,490393597.7096774,9504.532357989734,16.15769363682961
4235,62,262417265.27419356,7171.515411667997,16.168807281180648
3521,62,362368830.5483871,8914.259382815526,16.1513467263591
4209,62,283400149.0322581,8847.758655416703,16.252254360152076
902,62,127784133.75806452,5942.360597044534,15.778579383719508
3884,62,84130893.61290322,5034.0346972395755,15.743475351543056
1411,62,74611733.61290322,5149.0569150089495,15.804430122129883
5009,62,238438051.51612905,7150.739336682969,16.00091955961217
3542,62,572342558.6129032,11695.078520843328,16.747398282527612
5691,62,176231812.2419355,6880.959104836193,16.099756445931277
6821,62,106322448.25806452,6145.136447738294,16.11689235825532
2815,62,322627289.5483871,8005.568567871623,16.53592841817074
533,62,732174018.6774193,12705.266779942722,16.732426695179846
5666,62,220748266.01612905,6067.133354797807,15.801681700100396
2271,62,161618686.38709676,5765.128454567466,15.573986832159239
5639,62,274128324.8064516,8837.985250468264,16.243903878838363
739,62,187034793.38709676,7315.91782436808,16.07642559125065
2178,62,522715358.2580645,9177.764772725594,16.07965785158897
4249,62,164490048.51612905,6720.9453358283145,15.95623364601528
2801,62,113193379.90322581,5494.381257736598,15.578296723857884
6176,62,63559439.338709675,4793.352045361763,15.689623252830744
2836,62,299119691.5645161,9483.545759126242,16.431436404179856
3179,62,207752956.58064517,6213.022746863802,15.96166312970624
2136,62,350852190.41935486,8909.58244494244,16.19443931891661
2841,62,113699663.75806452,6178.972363379202,16.22404768579994
6304,62,174851132.77419356,7314.6138036128905,16.251112994348492
4151,62,108966922.80645162,5253.186311788369,15.545400459967603
784,62,188978394.22580644,7851.147645438274,16.373073106539728
2991,62,1124011142.2419355,14912.1204861107,16.486015417781992
2376,62,575759624.532258,10879.288191430978,16.680082440441762
3069,62,133934972.27419356,6346.897311525392,15.893707081401509
2018,62,191891761.5483871,5788.531876856296,15.578516889501413
3059,62,195443210.4516129,6634.193235563829,16.3109741898317
885,62,115281923.09677419,6029.521381780911,16.01168782518686
7761,62,155805564.17741936,6110.889591554665,15.75362720537123
7677,62,264481802.01612905,9247.674563933588,16.578815140457106
150,62,226822081.19354838,7474.850778107532,16.12868909536742
7663,62,111223826.62903225,5884.221880299071,16.03634534831327
